               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077802,            0.021861,            0.070219,             0.96936,            0.015224,            0.028787,            0.013995,            0.031198,           0.0077683,             0.03699,            0.070259,           0.0033046,           0.0033046
                   1,            0.051578,            0.017203,            0.045699,            0.004838,             0.95766,             0.05597,            0.028255,            0.040348,           0.0080772,            0.044051,            0.040215,           0.0065941,           0.0065941
                   2,            0.046555,            0.014454,            0.039974,           0.0040628,             0.97002,            0.073162,            0.040781,            0.026754,           0.0091496,            0.033701,            0.010127,           0.0098396,           0.0098396
                   3,              0.0427,            0.012538,            0.039553,            0.021948,             0.87122,             0.10913,             0.07318,            0.023536,           0.0098985,            0.029155,            0.009802,            0.009802,            0.009802
                   4,            0.038038,             0.01165,            0.038201,             0.85708,              0.0394,            0.098768,            0.066538,            0.022829,           0.0090345,            0.031702,            0.009802,            0.009802,            0.009802
                   5,              0.0356,            0.010621,            0.036968,             0.36952,             0.12637,             0.13468,            0.087563,            0.017479,           0.0067205,            0.033135,            0.009736,            0.009736,            0.009736
                   6,            0.031957,            0.010554,            0.036123,             0.53239,            0.062901,             0.12331,            0.093876,            0.019166,           0.0079047,            0.028894,             0.00967,             0.00967,             0.00967
                   7,            0.031223,            0.010271,            0.035454,             0.11832,              0.5542,             0.21415,             0.16912,            0.016765,           0.0053803,            0.035354,            0.009604,            0.009604,            0.009604
                   8,            0.030631,             0.01001,            0.035783,             0.43427,             0.24163,             0.20466,             0.14072,            0.019917,           0.0055177,             0.02973,            0.009538,            0.009538,            0.009538
                   9,            0.028867,           0.0098571,            0.035089,             0.66641,             0.22624,             0.21921,             0.15975,             0.01673,           0.0063442,             0.03028,            0.009472,            0.009472,            0.009472
                  10,            0.027816,           0.0094289,            0.033749,             0.48247,             0.23204,             0.21041,             0.15756,              0.0171,           0.0049086,            0.032123,            0.009406,            0.009406,            0.009406
                  11,            0.026403,           0.0093179,            0.034533,             0.40324,             0.35617,             0.17744,             0.12928,            0.017683,           0.0064447,            0.027669,             0.00934,             0.00934,             0.00934
                  12,            0.027591,           0.0091165,             0.03309,             0.49234,             0.34952,             0.21974,             0.16685,            0.019575,           0.0091627,            0.031338,            0.009274,            0.009274,            0.009274
                  13,            0.026007,           0.0092036,            0.034324,             0.42045,             0.36487,             0.25616,             0.19455,            0.014806,           0.0048802,            0.026352,            0.009208,            0.009208,            0.009208
                  14,            0.025432,           0.0088215,            0.031882,             0.24946,             0.42312,             0.25802,             0.20152,            0.017962,           0.0065148,            0.031107,            0.009142,            0.009142,            0.009142
                  15,            0.024404,            0.008601,            0.030881,             0.51658,             0.31189,              0.2707,             0.21805,            0.016081,           0.0081004,            0.029546,            0.009076,            0.009076,            0.009076
                  16,            0.023685,           0.0087134,            0.031792,             0.21288,             0.40107,             0.25304,             0.18912,            0.025773,           0.0076131,            0.041072,             0.00901,             0.00901,             0.00901
                  17,            0.023256,           0.0084772,            0.031441,             0.40254,             0.40559,             0.22288,             0.16574,            0.015273,           0.0072679,            0.034871,            0.008944,            0.008944,            0.008944
                  18,            0.023644,           0.0085938,            0.031933,             0.36818,             0.37876,             0.26108,              0.2139,            0.020133,           0.0087194,             0.03254,            0.008878,            0.008878,            0.008878
                  19,            0.023621,           0.0083425,            0.031608,             0.23704,             0.50485,             0.28109,             0.21513,            0.019516,           0.0084541,            0.034814,            0.008812,            0.008812,            0.008812
                  20,            0.023108,           0.0082341,             0.03136,             0.22085,             0.58702,             0.32992,             0.26904,            0.014108,           0.0057535,            0.032254,            0.008746,            0.008746,            0.008746
                  21,            0.022323,           0.0079151,            0.029793,             0.29793,             0.51801,             0.34659,             0.25889,            0.016724,           0.0068861,            0.035932,             0.00868,             0.00868,             0.00868
                  22,            0.022024,            0.007919,            0.029377,             0.34674,             0.50592,             0.38961,             0.30487,            0.015612,           0.0059834,            0.035214,            0.008614,            0.008614,            0.008614
                  23,             0.02113,            0.007978,            0.029138,             0.28597,              0.5275,             0.32494,             0.26542,            0.023151,            0.010507,             0.03278,            0.008548,            0.008548,            0.008548
                  24,            0.022744,           0.0080241,            0.028919,               0.312,             0.58191,             0.38416,             0.30745,            0.017371,           0.0062105,            0.031694,            0.008482,            0.008482,            0.008482
                  25,            0.021686,            0.007908,            0.028765,             0.23172,             0.56927,             0.39139,             0.30947,            0.015188,           0.0058657,            0.033733,            0.008416,            0.008416,            0.008416
                  26,            0.021811,           0.0078011,            0.027452,             0.34673,             0.54776,             0.41387,              0.3366,            0.017601,           0.0050023,            0.038822,             0.00835,             0.00835,             0.00835
                  27,            0.022433,           0.0077202,              0.0278,             0.28922,             0.53667,             0.42687,             0.34297,            0.015305,            0.007436,            0.035056,            0.008284,            0.008284,            0.008284
                  28,            0.021275,           0.0076302,            0.028469,             0.28441,             0.66726,             0.45137,             0.36085,            0.014353,           0.0059007,            0.030545,            0.008218,            0.008218,            0.008218
                  29,            0.021555,           0.0077334,             0.02853,             0.27326,             0.55757,             0.42902,             0.34888,            0.016184,            0.008259,            0.033769,            0.008152,            0.008152,            0.008152
                  30,            0.021236,           0.0075056,            0.027476,             0.36255,             0.48883,              0.4771,             0.38278,            0.014406,           0.0052556,              0.0326,            0.008086,            0.008086,            0.008086
                  31,            0.021318,           0.0074856,            0.028924,             0.30825,             0.67606,              0.4516,             0.36155,             0.01639,           0.0069244,            0.032278,             0.00802,             0.00802,             0.00802
                  32,            0.020597,           0.0073671,            0.027932,             0.37616,             0.56136,             0.50531,             0.41685,            0.016406,           0.0051851,            0.028909,            0.007954,            0.007954,            0.007954
                  33,            0.020029,           0.0074336,            0.026364,             0.32899,             0.54852,             0.52862,              0.4297,            0.015147,           0.0057492,            0.035965,            0.007888,            0.007888,            0.007888
                  34,            0.020168,           0.0074935,            0.027319,              0.3131,             0.61477,             0.52166,             0.43387,            0.015136,           0.0052599,            0.033724,            0.007822,            0.007822,            0.007822
                  35,            0.020165,           0.0073404,            0.026164,             0.23326,             0.64217,             0.45837,             0.37057,            0.014609,           0.0056254,            0.030944,            0.007756,            0.007756,            0.007756
                  36,            0.018922,           0.0070656,            0.024208,             0.21253,             0.71157,             0.53896,             0.44557,            0.015506,           0.0056179,            0.030165,             0.00769,             0.00769,             0.00769
                  37,            0.020271,           0.0072463,            0.026408,             0.55581,             0.44086,             0.49926,              0.4204,            0.020101,           0.0089979,            0.031551,            0.007624,            0.007624,            0.007624
                  38,            0.019736,           0.0072482,             0.02388,             0.35949,             0.61012,             0.51727,              0.4349,            0.015663,           0.0068309,            0.028432,            0.007558,            0.007558,            0.007558
                  39,            0.019383,           0.0071309,            0.024232,             0.24586,             0.57877,             0.50943,             0.42325,            0.016431,           0.0072709,            0.030556,            0.007492,            0.007492,            0.007492
                  40,            0.019879,           0.0071866,            0.025511,             0.39007,             0.51404,             0.53736,              0.4444,            0.015862,           0.0067755,            0.030518,            0.007426,            0.007426,            0.007426
                  41,             0.01959,           0.0072513,            0.024881,             0.29127,             0.60596,             0.57672,             0.47044,            0.015608,           0.0066708,            0.034572,             0.00736,             0.00736,             0.00736
                  42,            0.019495,           0.0072201,            0.023923,             0.32589,             0.56705,             0.56462,             0.47454,            0.015521,           0.0064901,            0.026678,            0.007294,            0.007294,            0.007294
                  43,            0.019291,           0.0072001,            0.025216,             0.29443,             0.64066,             0.55032,             0.45812,            0.014831,           0.0074553,            0.030998,            0.007228,            0.007228,            0.007228
                  44,            0.019849,           0.0071462,            0.024589,             0.31496,             0.62695,             0.51879,             0.42447,            0.015445,           0.0054657,            0.032578,            0.007162,            0.007162,            0.007162
                  45,            0.018836,           0.0069241,            0.023422,             0.26342,             0.67055,             0.53834,             0.44612,            0.015953,           0.0081705,            0.034983,            0.007096,            0.007096,            0.007096
                  46,            0.018827,           0.0067375,             0.02456,             0.50545,             0.50336,             0.52469,             0.42317,            0.014865,           0.0059738,            0.035221,             0.00703,             0.00703,             0.00703
                  47,             0.01923,           0.0071625,            0.023129,             0.33638,             0.61939,             0.51479,             0.42527,            0.015576,           0.0062471,            0.036403,            0.006964,            0.006964,            0.006964
                  48,             0.01846,           0.0065425,            0.022342,             0.27278,             0.74032,             0.53458,             0.44042,            0.013865,           0.0049847,            0.037588,            0.006898,            0.006898,            0.006898
                  49,            0.018895,           0.0068488,            0.023536,             0.37638,             0.65114,             0.59664,             0.46844,            0.014202,           0.0067708,             0.03409,            0.006832,            0.006832,            0.006832
                  50,            0.018471,           0.0068855,            0.022851,             0.38178,             0.65591,             0.58457,             0.48667,            0.014132,           0.0069429,             0.03449,            0.006766,            0.006766,            0.006766
                  51,              0.0178,           0.0068336,            0.023772,              0.3191,             0.66951,             0.63323,             0.52802,            0.014883,           0.0068316,             0.03183,              0.0067,              0.0067,              0.0067
                  52,            0.018184,           0.0066748,            0.022429,             0.33222,             0.63466,             0.63467,             0.53136,            0.013323,           0.0059533,            0.033791,            0.006634,            0.006634,            0.006634
                  53,            0.018145,           0.0068801,            0.021885,             0.43448,             0.66512,             0.64672,             0.53974,            0.013588,           0.0057614,            0.030841,            0.006568,            0.006568,            0.006568
                  54,            0.017124,           0.0066114,            0.020936,              0.3818,             0.68274,             0.64822,             0.55363,            0.013095,           0.0046998,            0.035007,            0.006502,            0.006502,            0.006502
                  55,            0.018136,           0.0064836,            0.021908,             0.47291,             0.59026,             0.63946,             0.53721,            0.016156,           0.0062126,            0.033457,            0.006436,            0.006436,            0.006436
                  56,            0.017953,           0.0064078,            0.020943,               0.533,             0.61648,             0.63478,             0.53582,            0.013059,           0.0048896,            0.035446,             0.00637,             0.00637,             0.00637
                  57,            0.018421,           0.0065928,            0.022404,             0.43994,             0.69462,             0.68856,              0.5862,            0.015939,           0.0061513,            0.030734,            0.006304,            0.006304,            0.006304
                  58,            0.018162,           0.0066381,            0.022696,             0.41543,             0.63983,             0.66622,             0.56199,            0.012544,           0.0059034,            0.031268,            0.006238,            0.006238,            0.006238
                  59,            0.017363,              0.0064,            0.020109,             0.47366,             0.63341,             0.68269,             0.55475,            0.013527,           0.0051625,            0.029062,            0.006172,            0.006172,            0.006172
                  60,            0.017521,           0.0067056,            0.021364,             0.51237,             0.62678,             0.65776,             0.55418,            0.013467,            0.006133,            0.030814,            0.006106,            0.006106,            0.006106
                  61,            0.017179,           0.0064653,            0.021423,             0.67095,             0.50191,             0.69583,             0.60229,            0.014103,           0.0056372,            0.031317,             0.00604,             0.00604,             0.00604
                  62,            0.017564,           0.0062259,            0.019754,             0.40975,             0.71441,             0.70832,             0.59416,            0.012934,           0.0049658,            0.026972,            0.005974,            0.005974,            0.005974
                  63,            0.017255,           0.0066039,            0.021327,             0.36042,             0.75371,             0.67931,             0.57296,             0.01194,           0.0042956,             0.03383,            0.005908,            0.005908,            0.005908
                  64,              0.0172,           0.0064839,             0.01927,             0.38705,              0.7373,             0.68739,              0.5708,            0.013082,           0.0064223,            0.028088,            0.005842,            0.005842,            0.005842
                  65,            0.017203,           0.0064164,            0.019767,              0.4544,             0.69513,             0.70212,             0.58941,            0.011777,           0.0049626,            0.032716,            0.005776,            0.005776,            0.005776
                  66,            0.016898,            0.006271,            0.019897,             0.55675,             0.66092,             0.69799,             0.60088,            0.012494,           0.0044753,            0.032205,             0.00571,             0.00571,             0.00571
                  67,            0.016875,           0.0063322,            0.019942,             0.47132,             0.66631,             0.67574,             0.56321,            0.014602,           0.0063602,            0.035822,            0.005644,            0.005644,            0.005644
                  68,             0.01642,           0.0064318,            0.018841,              0.5812,             0.62167,             0.70911,             0.60679,            0.013277,           0.0055468,             0.03582,            0.005578,            0.005578,            0.005578
                  69,            0.016291,           0.0062636,            0.019678,             0.47449,             0.69686,             0.69365,             0.57034,            0.012649,           0.0056869,            0.033546,            0.005512,            0.005512,            0.005512
                  70,            0.016675,           0.0062386,            0.020142,             0.44544,             0.64569,             0.69686,             0.59466,             0.01641,           0.0078861,            0.035761,            0.005446,            0.005446,            0.005446
                  71,            0.017087,           0.0063343,            0.020212,             0.50233,             0.57891,             0.69597,             0.60245,            0.012157,           0.0047138,            0.035427,             0.00538,             0.00538,             0.00538
                  72,            0.016895,            0.006151,            0.019589,             0.54777,             0.66605,             0.70821,             0.59432,            0.014201,           0.0063689,            0.035251,            0.005314,            0.005314,            0.005314
                  73,            0.016203,           0.0062268,             0.01843,             0.55002,             0.70272,             0.75589,             0.64681,            0.017176,           0.0088444,            0.034304,            0.005248,            0.005248,            0.005248
                  74,            0.016118,           0.0059057,            0.016706,             0.61532,             0.66606,             0.73118,             0.63256,            0.013143,           0.0066644,            0.032399,            0.005182,            0.005182,            0.005182
                  75,            0.016723,           0.0061266,            0.018622,             0.42391,             0.71585,              0.7397,             0.64096,            0.015914,           0.0088789,            0.033974,            0.005116,            0.005116,            0.005116
                  76,            0.016698,           0.0060069,            0.017926,             0.55126,             0.67869,             0.70391,             0.60304,            0.015445,           0.0093299,            0.028916,             0.00505,             0.00505,             0.00505
                  77,            0.016359,           0.0062209,            0.019192,             0.58874,             0.65903,             0.76092,             0.64893,            0.012957,           0.0060167,            0.031026,            0.004984,            0.004984,            0.004984
                  78,            0.015794,           0.0061502,            0.017339,             0.59848,             0.67088,             0.72448,             0.61808,            0.012924,            0.006119,            0.028397,            0.004918,            0.004918,            0.004918
                  79,             0.01647,           0.0059791,            0.016916,             0.53897,             0.60831,             0.72303,             0.62405,            0.013516,           0.0075992,            0.029998,            0.004852,            0.004852,            0.004852
                  80,            0.015882,           0.0060417,             0.01841,             0.63397,             0.62415,             0.76529,             0.65218,            0.013382,           0.0063716,            0.033543,            0.004786,            0.004786,            0.004786
                  81,            0.016221,           0.0060461,            0.017138,             0.59689,             0.66514,             0.79264,             0.65325,            0.012233,           0.0051712,            0.035156,             0.00472,             0.00472,             0.00472
                  82,            0.015573,           0.0058608,            0.017647,             0.57101,             0.69677,             0.75583,             0.65602,            0.011969,           0.0049367,            0.036463,            0.004654,            0.004654,            0.004654
                  83,            0.016028,           0.0059516,            0.018278,             0.60281,             0.65685,             0.77301,             0.65647,            0.013366,           0.0075779,            0.031423,            0.004588,            0.004588,            0.004588
                  84,            0.015901,           0.0058901,            0.015931,             0.60558,             0.62789,             0.75645,             0.65528,            0.012596,             0.00684,            0.030055,            0.004522,            0.004522,            0.004522
                  85,            0.015029,           0.0058918,            0.016447,             0.70428,             0.59363,             0.76194,             0.66534,            0.012972,           0.0087126,            0.031767,            0.004456,            0.004456,            0.004456
                  86,            0.014863,           0.0056371,            0.017007,             0.56319,             0.70827,             0.76899,             0.65853,            0.012987,           0.0085559,             0.03613,             0.00439,             0.00439,             0.00439
                  87,            0.014973,            0.005739,            0.015996,             0.62568,             0.64916,             0.73803,              0.6437,            0.013553,           0.0076824,            0.032417,            0.004324,            0.004324,            0.004324
                  88,            0.015226,           0.0060857,            0.016137,             0.64728,             0.69352,             0.77382,             0.67452,            0.013336,           0.0070859,            0.035587,            0.004258,            0.004258,            0.004258
                  89,            0.014806,           0.0058446,            0.016427,             0.65217,             0.66891,             0.79296,             0.68257,            0.014492,           0.0076858,            0.038466,            0.004192,            0.004192,            0.004192
                  90,            0.014943,           0.0058391,            0.015671,             0.65414,             0.68054,             0.81424,              0.7069,            0.013382,           0.0080601,            0.037653,            0.004126,            0.004126,            0.004126
                  91,            0.014489,            0.005744,            0.015185,             0.73414,             0.66825,             0.83527,             0.74311,             0.01259,           0.0064154,            0.039328,             0.00406,             0.00406,             0.00406
                  92,            0.014699,           0.0055349,            0.016315,             0.69496,             0.64177,             0.81319,             0.71716,            0.011652,           0.0060551,            0.034951,            0.003994,            0.003994,            0.003994
                  93,            0.014868,           0.0057465,            0.015925,             0.65044,             0.69963,             0.81943,             0.72825,            0.013727,           0.0076798,            0.038699,            0.003928,            0.003928,            0.003928
                  94,            0.014626,            0.005638,            0.016013,             0.63469,             0.76416,              0.8288,              0.7297,            0.014317,           0.0081516,            0.042697,            0.003862,            0.003862,            0.003862
                  95,            0.014608,           0.0056048,            0.015674,             0.64643,             0.69695,             0.82337,             0.72811,            0.016495,           0.0081847,            0.037872,            0.003796,            0.003796,            0.003796
                  96,            0.014317,            0.005555,            0.014914,             0.66377,             0.71472,             0.78538,             0.68749,            0.016501,           0.0094515,            0.037872,             0.00373,             0.00373,             0.00373
                  97,            0.014753,           0.0054404,             0.01574,             0.76393,             0.59197,             0.80907,             0.70553,            0.013248,           0.0057417,            0.041946,            0.003664,            0.003664,            0.003664
                  98,            0.014093,           0.0054949,            0.013786,             0.70951,             0.67807,             0.80453,             0.69222,            0.012912,           0.0068269,            0.039173,            0.003598,            0.003598,            0.003598
                  99,            0.014503,           0.0055718,            0.014809,              0.6251,             0.67932,             0.79407,             0.68991,            0.012565,           0.0054426,            0.037864,            0.003532,            0.003532,            0.003532
                 100,            0.013932,            0.005437,            0.015545,             0.65368,             0.66465,             0.79773,             0.69003,            0.012849,           0.0060823,            0.039266,            0.003466,            0.003466,            0.003466
                 101,            0.013967,           0.0054014,             0.01448,             0.81544,             0.56687,             0.81666,              0.7212,            0.012952,            0.006268,            0.039195,              0.0034,              0.0034,              0.0034
                 102,            0.013941,           0.0053396,            0.014716,              0.6383,             0.69368,             0.81473,             0.72671,            0.013989,           0.0069684,            0.036477,            0.003334,            0.003334,            0.003334
                 103,            0.013849,           0.0055208,            0.015336,             0.70324,             0.67746,               0.801,             0.71474,            0.013549,           0.0074863,            0.036588,            0.003268,            0.003268,            0.003268
                 104,            0.014177,           0.0054086,            0.013695,             0.68285,             0.66257,             0.79972,             0.70764,            0.012657,           0.0079318,            0.033515,            0.003202,            0.003202,            0.003202
                 105,            0.013183,           0.0054556,            0.012752,             0.68027,             0.73023,              0.8129,              0.7207,            0.012245,           0.0057623,            0.036136,            0.003136,            0.003136,            0.003136
                 106,            0.013765,           0.0053714,            0.014774,             0.65483,             0.72757,             0.81635,             0.71234,            0.013626,           0.0075041,            0.035233,             0.00307,             0.00307,             0.00307
                 107,            0.013168,           0.0051703,            0.012232,              0.7425,             0.66938,              0.8077,             0.72774,            0.013852,           0.0073553,            0.035238,            0.003004,            0.003004,            0.003004
                 108,            0.013655,           0.0051861,            0.013619,             0.77551,             0.68073,             0.82451,             0.72834,            0.013355,           0.0064379,            0.036288,            0.002938,            0.002938,            0.002938
                 109,            0.013389,           0.0053133,              0.0147,             0.77643,              0.7084,             0.79997,             0.71613,            0.015898,            0.010055,            0.032915,            0.002872,            0.002872,            0.002872
                 110,            0.012753,           0.0054959,            0.014475,             0.73313,             0.67009,               0.822,             0.72502,            0.012406,           0.0063248,            0.035425,            0.002806,            0.002806,            0.002806
                 111,            0.013444,           0.0052163,            0.012797,             0.82386,              0.6642,             0.84322,             0.75082,            0.014487,           0.0078094,            0.035566,             0.00274,             0.00274,             0.00274
                 112,            0.012864,           0.0052914,            0.011772,              0.7213,             0.67662,             0.83719,              0.7313,            0.012694,           0.0064126,             0.03646,            0.002674,            0.002674,            0.002674
                 113,            0.013291,           0.0052445,             0.01391,             0.85776,             0.63966,             0.82471,             0.73591,            0.013276,           0.0073054,            0.035829,            0.002608,            0.002608,            0.002608
                 114,            0.012875,           0.0050822,            0.013109,             0.66447,             0.74716,             0.82556,             0.73415,             0.01392,            0.008094,            0.035108,            0.002542,            0.002542,            0.002542
                 115,            0.012885,           0.0051549,            0.011462,             0.72182,             0.71377,             0.81874,             0.73406,             0.01418,           0.0084689,            0.036588,            0.002476,            0.002476,            0.002476
                 116,             0.01323,           0.0049237,            0.012532,             0.70361,             0.73589,             0.82465,             0.74792,            0.016636,           0.0085654,            0.039336,             0.00241,             0.00241,             0.00241
                 117,            0.012452,           0.0051592,             0.01287,              0.7365,             0.67845,             0.80989,             0.70821,            0.013737,             0.00643,            0.037629,            0.002344,            0.002344,            0.002344
                 118,            0.012581,           0.0051157,            0.011536,             0.73583,              0.8019,              0.8679,             0.77787,            0.013242,           0.0062188,            0.036314,            0.002278,            0.002278,            0.002278
                 119,            0.012081,           0.0050696,            0.012733,              0.7445,             0.64446,             0.84585,             0.74293,            0.013568,           0.0073532,            0.035943,            0.002212,            0.002212,            0.002212
                 120,            0.011771,           0.0051285,            0.011893,             0.69135,             0.69939,             0.81937,             0.73102,            0.014708,           0.0080275,            0.035588,            0.002146,            0.002146,            0.002146
                 121,             0.01221,           0.0050968,            0.012048,             0.83707,             0.64493,             0.85523,             0.77211,            0.013945,           0.0071826,             0.03662,             0.00208,             0.00208,             0.00208
                 122,            0.012502,           0.0050806,            0.012217,             0.68359,             0.66952,             0.82617,             0.73331,            0.012652,            0.006731,            0.035629,            0.002014,            0.002014,            0.002014
                 123,            0.012475,            0.004891,            0.011587,             0.77436,             0.70593,              0.8646,             0.77157,            0.014194,           0.0069692,            0.037697,            0.001948,            0.001948,            0.001948
                 124,            0.011548,           0.0048321,            0.011226,              0.7201,             0.74335,             0.84841,             0.75411,            0.013902,           0.0064297,            0.037657,            0.001882,            0.001882,            0.001882
                 125,            0.011212,           0.0048077,            0.010079,              0.7578,             0.73491,             0.84139,             0.75314,            0.012836,            0.006253,            0.036054,            0.001816,            0.001816,            0.001816
                 126,             0.01135,           0.0047381,            0.010879,             0.77994,             0.70396,             0.85382,             0.76713,            0.013351,           0.0067351,             0.03494,             0.00175,             0.00175,             0.00175
                 127,            0.011664,           0.0048263,            0.011879,             0.68102,             0.76359,             0.84147,             0.75607,            0.013968,           0.0069379,            0.035264,            0.001684,            0.001684,            0.001684
                 128,            0.011513,           0.0048412,            0.012041,             0.78054,             0.67217,             0.83923,             0.75826,            0.014546,           0.0072299,            0.035248,            0.001618,            0.001618,            0.001618
                 129,            0.011701,           0.0047423,            0.010143,              0.7711,             0.68874,             0.84274,              0.7669,            0.014782,           0.0073647,            0.035691,            0.001552,            0.001552,            0.001552
                 130,            0.011488,           0.0046934,            0.010067,             0.71704,              0.7841,             0.82798,             0.74288,            0.014593,            0.007347,            0.035309,            0.001486,            0.001486,            0.001486
                 131,            0.011456,           0.0047907,             0.01073,             0.70278,             0.77365,             0.84069,             0.77155,            0.014854,           0.0074408,            0.036518,             0.00142,             0.00142,             0.00142
                 132,            0.010739,           0.0047062,            0.010984,             0.72374,             0.75033,             0.84276,             0.76052,            0.014929,           0.0072833,             0.03542,            0.001354,            0.001354,            0.001354
                 133,            0.010876,           0.0047956,           0.0098413,             0.74795,             0.74651,             0.84232,             0.76833,            0.015241,           0.0077989,             0.03566,            0.001288,            0.001288,            0.001288
                 134,            0.010888,           0.0045825,            0.010671,             0.80188,             0.73819,             0.84921,             0.77597,            0.016911,           0.0081753,            0.035754,            0.001222,            0.001222,            0.001222
                 135,            0.010691,           0.0048364,           0.0099647,             0.74574,             0.75482,             0.84814,             0.77259,             0.01719,           0.0083536,            0.037374,            0.001156,            0.001156,            0.001156
                 136,            0.010977,           0.0044578,            0.011228,             0.75831,             0.73518,             0.84953,             0.78056,            0.015193,           0.0076805,            0.038586,             0.00109,             0.00109,             0.00109
                 137,            0.010328,            0.004506,           0.0094694,             0.75748,               0.731,             0.84668,             0.77264,            0.016081,           0.0074722,            0.039397,            0.001024,            0.001024,            0.001024
                 138,           0.0096929,           0.0045232,           0.0096321,             0.72592,             0.77443,             0.84322,             0.76248,            0.015106,           0.0070768,            0.038174,            0.000958,            0.000958,            0.000958
                 139,            0.010164,           0.0044068,           0.0093293,             0.70849,             0.77687,              0.8325,             0.75269,            0.015388,           0.0074927,            0.038485,            0.000892,            0.000892,            0.000892
                 140,            0.010098,            0.004488,           0.0098511,             0.71901,             0.76439,             0.84043,             0.75881,            0.014292,           0.0073032,            0.038786,            0.000826,            0.000826,            0.000826
                 141,           0.0095239,           0.0043641,           0.0087852,             0.73009,             0.77539,             0.84857,             0.76895,            0.014672,           0.0074545,            0.038501,             0.00076,             0.00076,             0.00076
                 142,           0.0097025,           0.0044914,           0.0099218,              0.7101,             0.76316,             0.83759,             0.76285,            0.013882,           0.0069512,            0.038459,            0.000694,            0.000694,            0.000694
                 143,           0.0098911,           0.0043562,           0.0092918,             0.80786,             0.71961,             0.84657,             0.76383,            0.013957,           0.0072047,              0.0391,            0.000628,            0.000628,            0.000628
                 144,            0.010033,           0.0044929,            0.009751,             0.76942,              0.7724,             0.85437,             0.77554,            0.014631,            0.008098,            0.038502,            0.000562,            0.000562,            0.000562
                 145,            0.009677,           0.0043542,           0.0094386,             0.76485,             0.75466,             0.84171,             0.76315,            0.014687,           0.0079341,            0.039823,            0.000496,            0.000496,            0.000496
                 146,           0.0092029,           0.0042614,           0.0086153,             0.74497,             0.75941,              0.8412,             0.76856,            0.014492,           0.0078001,             0.04015,             0.00043,             0.00043,             0.00043
                 147,           0.0086568,            0.004337,           0.0090365,             0.73754,             0.77362,             0.84693,             0.77235,            0.014222,           0.0074096,            0.039438,            0.000364,            0.000364,            0.000364
                 148,           0.0092933,           0.0043447,           0.0085004,             0.75221,             0.77099,             0.85638,             0.79082,            0.014358,           0.0075828,            0.040072,            0.000298,            0.000298,            0.000298
                 149,           0.0090502,           0.0042007,           0.0083923,             0.74955,             0.77995,             0.84911,             0.77898,            0.014623,           0.0079154,            0.040452,            0.000232,            0.000232,            0.000232
